Total_size,LotArea,Neighborhood,BldgType_clean,OverallQual,Age_at_sale,ExterQual,Outdoor_Porch_Size,YrSold,KitchenQual,Fireplaces,log_sales
2964,8450,CollgCr,1Fam,7,5,Gd,61,2008,Gd,0,12.247694320220994
2700,9600,Veenker,1Fam,6,31,TA,298,2007,TA,1,12.109010932687042
2880,11250,CollgCr,1Fam,7,6,Gd,42,2008,Gd,1,12.31716669303576
2575,9550,Crawfor,1Fam,7,36,TA,35,2006,Gd,1,11.84939770159144
3689,14260,NoRidge,1Fam,8,8,Gd,276,2008,Gd,1,12.429216196844383
2574,14115,Mitchel,1Fam,5,14,TA,70,2009,TA,0,11.870599909242044
3699,10084,Somerst,1Fam,8,2,Gd,312,2007,Gd,1,12.634603026569334
3465,10382,NWAmes,1Fam,7,36,TA,439,2009,TA,2,12.206072645530174
2242,6120,OldTown,1Fam,7,58,TA,90,2008,TA,2,11.77452020265869
2133,7420,BrkSide,2fmCon,5,58,TA,4,2008,TA,2,11.678439903447801
2330,11200,Sawyer,1Fam,5,43,TA,0,2008,TA,0,11.771436160121729
4058,11924,NridgHt,1Fam,9,0,Ex,168,2006,Ex,2,12.751299696013497
2001,12968,Sawyer,1Fam,5,46,TA,140,2008,TA,0,11.877568578558138
2334,10652,CollgCr,1Fam,7,0,Gd,193,2007,Gd,1,12.540757571577291
2338,10920,NAmes,1Fam,6,48,TA,213,2008,TA,1,11.964001084330445
1430,6120,BrkSide,1Fam,7,6,TA,160,2007,TA,0,11.790557201568507
2062,11241,NAmes,1Fam,6,40,TA,0,2010,TA,1,11.911701584927597
1812,10791,Sawyer,Duplex,4,39,TA,0,2006,TA,0,11.407564949312402
2336,13695,SawyerW,1Fam,5,4,TA,102,2008,Gd,0,11.976659481202368
2137,7560,NAmes,1Fam,5,44,TA,0,2009,TA,0,11.842229212112828
3229,14215,NridgHt,1Fam,8,0,Gd,394,2006,Gd,1,12.692503112461443
1388,7449,IDOTRR,1Fam,7,57,TA,0,2007,Gd,1,11.845102777308561
2329,9742,CollgCr,1Fam,8,6,Gd,330,2008,Gd,1,12.345834587905333
2472,4224,MeadowV,Twnhs,5,31,TA,210,2007,TA,1,11.77452020265869
2186,8246,Sawyer,1Fam,5,9,TA,496,2010,Gd,1,11.944707881395766
2490,14230,NridgHt,1Fam,8,2,Gd,56,2009,Gd,1,12.454103912352162
2196,7200,NAmes,1Fam,5,10,TA,254,2010,Gd,0,11.811547477460344
3694,11478,NridgHt,1Fam,8,2,Gd,50,2010,Gd,1,12.631340380934517
3196,16321,NAmes,1Fam,5,9,TA,546,2006,TA,2,12.24288661865289
760,6324,BrkSide,1Fam,4,58,TA,49,2008,Fa,0,11.134589024250317
1567,8500,IDOTRR,1Fam,4,58,TA,54,2008,TA,0,10.596634733096073
1499,8544,Sawyer,1Fam,5,2,TA,65,2008,Gd,0,11.914047823644255
1718,11049,CollgCr,1Fam,8,1,Gd,30,2008,Gd,0,12.100156419938624
3165,10552,NAmes,1Fam,5,51,TA,38,2010,Gd,1,12.016726473799254
3270,7313,NridgHt,Twnhs,9,2,Ex,250,2007,Ex,1,12.533576212168626
3143,13418,NridgHt,1Fam,8,1,Gd,145,2006,Gd,1,12.641096555879882
1769,10859,CollgCr,1Fam,5,14,TA,456,2009,TA,0,11.884489021402711
3008,8532,NAmes,1Fam,5,19,TA,0,2009,TA,1,11.938193200374572
2034,7922,NAmes,1Fam,5,3,TA,52,2010,Gd,0,11.59910316121128
1152,6040,Edwards,Duplex,4,53,TA,0,2008,Fa,0,11.314474526246391
2407,8658,NAmes,1Fam,6,41,TA,138,2006,TA,1,11.982929094215963
2603,16905,Timber,1Fam,5,48,TA,104,2007,TA,2,12.043553716032399
2228,9180,SawyerW,1Fam,5,24,TA,240,2007,Gd,0,11.877568578558138
2017,9200,CollgCr,1Fam,5,28,TA,145,2008,TA,0,11.777210959615614
2135,7945,NAmes,1Fam,5,47,TA,0,2006,TA,0,11.856515169360305
2784,7658,NridgHt,Twnhs,9,5,Ex,278,2010,Ex,1,12.675763725937609
4170,12822,Mitchel,1Fam,7,6,Gd,211,2009,Gd,1,12.387085012375499
2506,11096,Somerst,1Fam,8,1,Gd,146,2007,Gd,0,12.428015476267865
1452,4456,OldTown,2fmCon,4,1,TA,0,2009,TA,0,11.635143097694478
2104,7742,Sawyer,1Fam,5,41,TA,0,2007,TA,0,11.751942365440728
2040,13869,Gilbert,1Fam,6,10,TA,75,2007,TA,0,12.083905011555967
1344,6240,BrkSide,1Fam,6,56,TA,112,2006,TA,1,11.648330101976432
2148,8472,IDOTRR,Duplex,5,47,Fa,106,2010,TA,0,11.608235644774552
4546,50271,Veenker,1Fam,9,19,Gd,929,2006,Gd,1,12.86099861326992
2316,7134,NAmes,1Fam,5,52,TA,50,2007,TA,1,11.77528972943772
2491,10175,NAmes,1Fam,6,44,TA,0,2008,TA,1,12.103486056755072
2868,2645,Somerst,Twnhs,8,9,Gd,115,2009,Gd,0,12.058152515453552
