Total_size,LotArea,Neighborhood,OverallQual,Age_at_sale,YrSold,log_sales
2964,8450,CollgCr,7,5,2008,12.247694320220994
2700,9600,Veenker,6,31,2007,12.109010932687042
2880,11250,CollgCr,7,6,2008,12.31716669303576
2575,9550,Crawfor,7,36,2006,11.84939770159144
3689,14260,NoRidge,8,8,2008,12.429216196844383
2574,14115,Mitchel,5,14,2009,11.870599909242044
3699,10084,Somerst,8,2,2007,12.634603026569334
3465,10382,NWAmes,7,36,2009,12.206072645530174
2242,6120,OldTown,7,58,2008,11.77452020265869
2133,7420,BrkSide,5,58,2008,11.678439903447801
2330,11200,Sawyer,5,43,2008,11.771436160121729
4058,11924,NridgHt,9,0,2006,12.751299696013497
2001,12968,Sawyer,5,46,2008,11.877568578558138
2334,10652,CollgCr,7,0,2007,12.540757571577291
2338,10920,NAmes,6,48,2008,11.964001084330445
1430,6120,BrkSide,7,6,2007,11.790557201568507
2062,11241,NAmes,6,40,2010,11.911701584927597
1812,10791,Sawyer,4,39,2006,11.407564949312402
2336,13695,SawyerW,5,4,2008,11.976659481202368
2137,7560,NAmes,5,44,2009,11.842229212112828
3229,14215,NridgHt,8,0,2006,12.692503112461443
1388,7449,IDOTRR,7,57,2007,11.845102777308561
2329,9742,CollgCr,8,6,2008,12.345834587905333
2472,4224,MeadowV,5,31,2007,11.77452020265869
2186,8246,Sawyer,5,9,2010,11.944707881395766
2490,14230,NridgHt,8,2,2009,12.454103912352162
2196,7200,NAmes,5,10,2010,11.811547477460344
3694,11478,NridgHt,8,2,2010,12.631340380934517
3196,16321,NAmes,5,9,2006,12.24288661865289
760,6324,BrkSide,4,58,2008,11.134589024250317
1567,8500,IDOTRR,4,58,2008,10.596634733096073
1499,8544,Sawyer,5,2,2008,11.914047823644255
1718,11049,CollgCr,8,1,2008,12.100156419938624
3165,10552,NAmes,5,51,2010,12.016726473799254
3270,7313,NridgHt,9,2,2007,12.533576212168626
3143,13418,NridgHt,8,1,2006,12.641096555879882
1769,10859,CollgCr,5,14,2009,11.884489021402711
3008,8532,NAmes,5,19,2009,11.938193200374572
2034,7922,NAmes,5,3,2010,11.59910316121128
1152,6040,Edwards,4,53,2008,11.314474526246391
2407,8658,NAmes,6,41,2006,11.982929094215963
2603,16905,Timber,5,48,2007,12.043553716032399
2228,9180,SawyerW,5,24,2007,11.877568578558138
2017,9200,CollgCr,5,28,2008,11.777210959615614
2135,7945,NAmes,5,47,2006,11.856515169360305
2784,7658,NridgHt,9,5,2010,12.675763725937609
4170,12822,Mitchel,7,6,2009,12.387085012375499
2506,11096,Somerst,8,1,2007,12.428015476267865
1452,4456,OldTown,4,1,2009,11.635143097694478
2104,7742,Sawyer,5,41,2007,11.751942365440728
2040,13869,Gilbert,6,10,2007,12.083905011555967
1344,6240,BrkSide,6,56,2006,11.648330101976432
2148,8472,IDOTRR,5,47,2010,11.608235644774552
4546,50271,Veenker,9,19,2006,12.86099861326992
2316,7134,NAmes,5,52,2007,11.77528972943772
2491,10175,NAmes,6,44,2008,12.103486056755072
2868,2645,Somerst,8,9,2009,12.058152515453552
2285,11645,CollgCr,7,2,2006,12.188417710291453
3586,13682,StoneBr,10,0,2006,12.991753427493052
1764,7200,CollgCr,5,36,2008,11.73526869611367
2675,13072,SawyerW,6,2,2006,11.970350312009105
