Total_size,LotArea,Neighborhood,OverallQual,Age_at_sale,YrSold
2238.0,11622,NAmes,5,49,2010
2564.0,14267,NAmes,6,52,2010
2902.0,13830,Gilbert,5,12,2010
2676.0,9978,Gilbert,6,12,2010
2049.0,5005,StoneBr,8,18,2010
2095.0,10000,Gilbert,6,16,2010
2542.0,7980,Gilbert,6,3,2010
1858.0,8402,Gilbert,6,12,2010
2484.0,10176,Gilbert,7,20,2010
2289.0,8400,NAmes,4,40,2010
2899.0,5858,NAmes,7,11,2010
1407.0,1680,BrDale,6,39,2010
1712.0,1680,BrDale,5,39,2010
2410.0,2280,NPkVill,6,35,2010
1144.0,2280,NPkVill,7,35,2010
3085.0,12858,NridgHt,9,0,2010
2412.0,12883,NridgHt,8,0,2010
2538.0,11520,NridgHt,9,5,2010
2528.0,14122,NridgHt,8,4,2010
5027.0,14300,NridgHt,9,6,2010
3584.0,13650,NridgHt,8,8,2010
1878.0,7132,NridgHt,8,4,2010
1754.0,18494,Gilbert,6,5,2010
1598.0,3203,Blmngtn,7,4,2010
2100.0,13300,Gilbert,7,6,2010
2166.0,8577,Gilbert,7,6,2010
3437.0,17433,NoRidge,8,12,2010
2475.0,8987,Somerst,8,4,2010
1894.0,9215,Somerst,7,0,2010
3410.0,10440,Somerst,6,5,2010
2143.0,11920,SawyerW,7,6,2010
1441.0,9800,SawyerW,5,60,2010
2940.0,15410,Sawyer,6,8,2010
4342.0,13143,NoRidge,8,17,2010
4067.0,11134,NoRidge,8,17,2010
3292.0,4835,Somerst,7,5,2010
2268.0,3515,Somerst,7,6,2010
1960.0,3215,Somerst,7,6,2010
2090.0,2544,Somerst,7,5,2010
2092.0,2544,Somerst,6,5,2010
2418.0,2980,Somerst,6,10,2010
1820.0,2403,Somerst,7,7,2010
3302.0,12853,Somerst,8,0,2010
2924.0,7379,Somerst,8,10,2010
2921.0,8000,Somerst,7,8,2010
2870.0,10456,NWAmes,6,43,2010
4292.0,10791,NWAmes,6,17,2010
3302.0,18837,NWAmes,6,32,2010
2415.0,9600,NWAmes,6,39,2010
2420.0,9600,NAmes,5,44,2010
2772.0,9900,NAmes,5,44,2010
3037.0,9680,NAmes,5,43,2010
2255.0,10600,NAmes,6,46,2010
3228.0,13260,NAmes,5,9,2010
3531.0,9724,NAmes,5,8,2010
2326.0,17360,NAmes,6,60,2010
2387.0,11380,NAmes,6,2,2010
2180.0,8267,NAmes,5,52,2010
3288.0,8197,NAmes,7,1,2010
2469.0,8050,NAmes,5,51,2010
2454.0,10725,NAmes,5,51,2010
2754.0,10032,NAmes,6,51,2010
1600.0,8382,NAmes,4,54,2010
1721.0,10950,NAmes,5,58,2010
1925.0,10895,NAmes,5,55,2010
1784.0,13587,NAmes,5,52,2010
1661.0,7898,NAmes,4,16,2010
2159.0,8064,NAmes,6,6,2010
2597.0,7635,NAmes,5,50,2010
2815.0,9760,NAmes,6,26,2010
2132.0,4800,OldTown,4,56,2010
1515.0,4485,OldTown,5,60,2010
3245.0,5805,OldTown,5,53,2010
1491.0,6900,OldTown,6,10,2010
2653.0,11851,OldTown,5,1,2010
1736.0,8239,OldTown,5,48,2010
1612.0,9656,OldTown,2,40,2010
1854.0,9600,OldTown,8,7,2010
2892.0,9000,OldTown,8,8,2010
2256.0,9045,OldTown,5,60,2010
2377.0,10560,OldTown,6,16,2010
2763.0,5830,BrkSide,5,13,2010
2857.0,7793,BrkSide,7,5,2010
1153.0,5000,BrkSide,4,60,2010
1836.0,6000,BrkSide,6,60,2010
2036.0,6000,BrkSide,6,60,2010
2212.0,6360,BrkSide,5,60,2010
2028.0,6000,BrkSide,6,60,2010
1940.0,6240,BrkSide,5,30,2010
2464.0,6240,BrkSide,5,60,2010
2316.0,6120,OldTown,6,60,2010
2534.0,8094,OldTown,4,60,2010
1560.0,12900,OldTown,6,1,2010
1504.0,3068,OldTown,6,17,2010
2806.0,15263,ClearCr,5,51,2010
1404.0,10632,ClearCr,5,60,2010
2418.0,9900,SWISU,5,60,2010
1518.0,6001,SWISU,6,60,2010
1957.0,6449,SWISU,4,60,2010
2866.0,6048,SWISU,5,60,2010
2536.0,10773,Sawyer,4,43,2010
2022.0,7800,Sawyer,5,2,2010
1919.0,7832,Sawyer,5,42,2010
3283.0,7424,Sawyer,5,32,2010
2640.0,11227,Sawyer,5,42,2010
3265.0,20062,ClearCr,7,9,2010
1196.0,9259,Sawyer,4,60,2010
3467.0,17082,ClearCr,6,18,2010
3062.0,18600,Edwards,3,20,2010
2032.0,11479,Edwards,6,23,2010
1570.0,9350,Edwards,4,31,2010
2492.0,9525,Edwards,5,12,2010
3426.0,17485,Edwards,7,0,2010
1802.0,11200,Edwards,5,46,2010
3394.0,11980,SawyerW,7,23,2010
3679.0,12361,SawyerW,6,17,2010
1861.0,7360,CollgCr,7,0,2010
1929.0,14235,SawyerW,6,17,2010
2415.0,11105,CollgCr,5,14,2010
2558.0,9337,CollgCr,7,12,2010
2220.0,15240,CollgCr,5,6,2010
1840.0,7480,CollgCr,5,38,2010
4510.0,10389,CollgCr,8,7,2010
2719.0,9375,CollgCr,7,13,2010
1940.0,4435,CollgCr,6,7,2010
880.0,8777,Edwards,3,3,2010
1311.0,8842,Edwards,5,56,2010
2602.0,10044,Edwards,5,42,2010
1600.0,11792,Edwards,4,60,2010
1976.0,6305,Edwards,6,35,2010
960.0,6410,Edwards,4,52,2010
1689.0,4853,SWISU,5,11,2010
1493.0,7890,SWISU,6,60,2010
2650.0,7200,SWISU,4,43,2010
1666.0,9839,SWISU,5,60,2010
3123.0,10452,Crawfor,7,25,2010
3036.0,15600,Crawfor,5,19,2010
2468.0,19645,Crawfor,7,3,2010
2379.0,3907,Blueste,8,21,2010
1798.0,3907,Blueste,8,21,2010
1220.0,8154,IDOTRR,2,60,2010
2040.0,9140,IDOTRR,6,35,2010
1282.0,8712,IDOTRR,4,60,2010
3544.0,3811,Crawfor,8,5,2010
3272.0,11050,Mitchel,8,11,2010
2437.0,9620,Mitchel,6,33,2010
2824.0,12760,Mitchel,6,34,2010
2084.0,11896,Timber,7,2,2010
1734.0,9803,Timber,7,0,2010
1844.0,9802,Timber,5,3,2010
1834.0,15300,Mitchel,5,33,2010
2054.0,10114,Mitchel,5,5,2010
2030.0,11875,Mitchel,5,11,2010
2113.0,2394,MeadowV,5,37,2010
1268.0,1476,MeadowV,4,40,2010
1092.0,1900,MeadowV,4,40,2010
1672.0,1890,MeadowV,4,38,2010
1695.0,6953,Mitchel,5,6,2010
2125.0,12887,Mitchel,5,26,2010
3048.0,7700,Mitchel,5,24,2010
2308.0,10475,Mitchel,5,19,2010
2230.0,10544,Mitchel,5,41,2010
3910.0,9892,Mitchel,8,15,2010
3357.0,12961,Mitchel,6,16,2010
1948.0,13008,NAmes,6,53,2009
2806.0,10200,NAmes,6,35,2009
2925.0,10179,Gilbert,6,12,2009
3765.0,11792,Gilbert,8,6,2009
2302.0,8400,Gilbert,7,12,2009
5051.0,7296,StoneBr,8,4,2009
2314.0,7380,StoneBr,8,11,2009
3003.0,8013,StoneBr,8,13,2009
1967.0,8923,Gilbert,7,11,2009
2552.0,7500,Gilbert,6,10,2009
2525.0,8803,Gilbert,6,14,2009
1620.0,7250,Gilbert,6,16,2009
2901.0,11900,Gilbert,5,32,2009
2579.0,13250,NWAmes,7,31,2009
2518.0,10928,NWAmes,6,23,2009
3716.0,12388,NWAmes,7,18,2009
3018.0,11088,NWAmes,6,11,2009
3087.0,7000,Somerst,7,6,2009
2462.0,7500,Somerst,8,8,2009
2877.0,8470,Somerst,8,7,2009
3600.0,9373,NWAmes,5,34,2009
2532.0,10140,NWAmes,6,35,2009
2335.0,11050,NWAmes,7,34,2009
1657.0,7830,NAmes,5,39,2009
1886.0,8510,NAmes,5,38,2009
2166.0,7038,NAmes,4,39,2009
1680.0,9000,NAmes,4,3,2009
1505.0,1680,BrDale,6,36,2009
1679.0,1680,BrDale,6,37,2009
2294.0,2308,NPkVill,6,33,2009
2552.0,2280,NPkVill,7,34,2009
2285.0,2349,NPkVill,6,32,2009
2308.0,2364,NPkVill,6,31,2009
2175.0,2364,NPkVill,6,31,2009
1717.0,2104,NPkVill,7,33,2009
2420.0,10710,NAmes,5,5,2009
4886.0,14257,NridgHt,9,2,2009
4540.0,12350,NridgHt,9,0,2009
4148.0,12350,NridgHt,9,1,2009
5724.0,13693,NridgHt,10,2,2009
2570.0,11578,NridgHt,9,1,2009
4245.0,16870,NridgHt,8,4,2009
4390.0,23303,NridgHt,8,2,2009
3685.0,10367,NridgHt,9,1,2009
3268.0,10872,NridgHt,9,3,2009
3800.0,13514,NridgHt,9,1,2009
3605.0,12878,NridgHt,7,5,2009
5310.0,15274,NridgHt,9,6,2009
3130.0,13262,NridgHt,8,5,2009
2477.0,9658,NridgHt,8,3,2009
2678.0,6904,NridgHt,6,4,2009
2811.0,5122,NridgHt,6,4,2009
2718.0,10307,NridgHt,7,1,2009
5587.0,14836,NridgHt,10,4,2009
4442.0,15262,NridgHt,8,5,2009
3333.0,7390,NridgHt,9,0,2009
1995.0,6472,NridgHt,9,1,2009
3609.0,16770,NridgHt,8,6,2009
1883.0,3480,NridgHt,7,6,2009
1846.0,10928,Gilbert,7,4,2009
1882.0,8918,Gilbert,6,3,2009
1633.0,3182,Blmngtn,7,3,2009
1774.0,9434,Gilbert,7,4,2009
2066.0,7984,Gilbert,7,4,2009
2028.0,10125,Gilbert,7,5,2009
2541.0,8965,Gilbert,7,6,2009
2229.0,8174,Gilbert,7,6,2009
3299.0,12891,Gilbert,8,7,2009
2128.0,9734,Gilbert,7,5,2009
2591.0,8433,Gilbert,6,9,2009
1830.0,7750,Gilbert,7,9,2009
3883.0,15896,Gilbert,7,10,2009
1840.0,7848,Gilbert,7,10,2009
4670.0,12720,NoRidge,8,9,2009
4640.0,10750,NoRidge,8,14,2009
3524.0,9085,NoRidge,7,13,2009
3479.0,11692,NoRidge,8,15,2009
2668.0,11194,Somerst,8,1,2009
2384.0,10206,Somerst,8,1,2009
3840.0,10130,Somerst,8,2,2009
2303.0,9139,Somerst,8,3,2009
5443.0,11128,Somerst,9,3,2009
1965.0,7993,Somerst,7,0,2009
2027.0,8640,Somerst,7,1,2009
2514.0,12606,Somerst,9,1,2009
2164.0,7500,Somerst,8,2,2009
